country,exports_2005,exports_2024,growth_2005_2024
United States of America,173614.2782,741043.0,4.268329815283591
United Kingdom,160314.4131,488458.4771,3.0468781169121217
Ireland,36593.24483,425033.7874,11.61508877866844
Germany,68342.27331,279826.833,4.094491146507634
India,30609.84101,275743.1639,9.008317416935189
China,14447.2954,220567.7463,15.26706142521319
Singapore,13646.28113,220319.0136,16.14498569252325
Netherlands,65690.22486,204739.1766,3.1167373385666317
France,58339.05553,203758.3881,3.4926583272370646
Luxembourg,31884.9412,140173.1238,4.39621710200927
Switzerland,43700.49012,121699.6277,2.784857271985214
Japan,35803.47857,118902.5429,3.3209773923930768
Belgium,22080.8339,88713.98846,4.017691943237705
Canada,26734.57,84201.40488,3.149532791438202
Sweden,16830.56768,82066.10478,4.876015256307742
Spain,23210.36719,81009.92678,3.4902475310645866
"Korea, Republic of",10642.63686,67869.7282,6.3771534341349305
Israel,8196.978185,66128.56729,8.067432387585402
Italy,31166.33761,65020.03023,2.0862262048120064
Poland,2739.147037,54404.67185,19.86190267083497
United Arab Emirates,0.0,50957.37757,
"Hong Kong, China",15086.68781,48954.2159,3.2448617295276296
Denmark,7198.724635,39069.06953,5.427221002460251
Austria,11392.33705,37633.29036,3.3033863196665165
Brazil,5509.549437,29430.6307,5.341749091560063
Chinese Taipei,5841.027166,28654.12175,4.905664866068866
Finland,4612.85907,27174.20896,5.890968821642322
"Commonwealth of Independent States (CIS), including certain associate and former member States",6870.921467,24640.40461,3.586186325712519
Australia,6038.948,23203.932,3.8423798317190343
Philippines,2859.47399,22965.77677,8.031469022035063
Norway,6903.885617,21567.83392,3.124013796939475
Cyprus,1581.136182,20876.05363,13.203197717981258
Romania,1660.438962,20799.13726,12.526288370725428
Czech Republic,3051.424659,18872.70131,6.18488195483905
Thailand,3720.107445,17596.37321,4.730071233197943
Portugal,2441.89894,16689.92044,6.834812107334795
Hungary,3930.951132,15617.341,3.972916598445264
Malaysia,4273.245435,15422.59234,3.6091052046019443
Mexico,4058.974002,15176.81912,3.739077686263042
Türkiye,1422.187828,14456.21078,10.164769023743887
Malta,2490.192427,12004.38442,4.820665379045424
Indonesia,3146.607664,10940.36625,3.4768765026436417
Ukraine,712.7085354,9543.373539,13.39028938897706
Russian Federation,5668.48295,9457.810439,1.6684905860041443
Costa Rica,464.265,8647.602565,18.626436550246087
Serbia,0.0,8629.096944,
Bulgaria,517.8373266,8408.940394,16.238575247580464
"Bahrain, Kingdom of",1380.012746,8327.889239,6.034646609706023
Lithuania,231.3740121,8224.792355,35.5476065801428
Argentina,1483.9979,8052.764129,5.426398601372684
Estonia,454.3610685,7263.898701,15.987062282824084
Greece,2315.194429,7169.426878,3.096684575686667
"Kuwait, the State of",1415.068493,7080.254867,5.003471494153322
Morocco,1110.803223,6735.385686,6.063527316574954
Slovak Republic,1454.958472,5866.137037,4.03182437842116
Colombia,451.6013327,5305.328746,11.747814636154638
Ghana,78.41981437,5184.475215,66.1118016747481
Pakistan,619.5792424,4943.149242,7.978235718246846
Croatia,973.8784022,4909.990094,5.041687014424274
New Zealand,1383.297452,4755.272357,3.437635448633791
Slovenia,732.4182777,4576.603763,6.2486203612665525
Viet Nam,631.4979104,4190.51061,6.635826565674096
Egypt,1914.274,4031.741644,2.1061465829865527
"Saudi Arabia, Kingdom of",3259.427854,4012.818558,1.2311420095018921
Chile,896.3599778,3809.72637,4.250219180189729
Cayman Islands,844.0962944,3715.758344,4.402055036435425
Uruguay,186.2322757,3681.8913,19.77042532590391
Latvia,543.6637547,3603.040889,6.627333269601906
"Macao, China",306.6491315,3554.305356,11.590788920920195
Belarus,278.5161414,3355.576677,12.048051003912121
Qatar,83.07148375,3082.877938,37.1111457125021
Kazakhstan,215.9392534,3052.85732,14.137574674044881
Panama,533.1189394,2914.208882,5.466339059872461
Algeria,988.0024242,2555.158817,2.586186789034399
Azerbaijan,212.8708544,2470.243564,11.604423588013747
Dominican Republic,195.4484621,2014.02384,10.30462874130745
Cuba,2270.430368,1937.180044,0.8532215175162774
Bangladesh,180.6188716,1873.04957,10.370176457242355
Lebanese Republic,4627.570917,1810.866072,0.39132108496652995
Kenya,205.7572619,1803.911702,8.767183648063504
Armenia,65.68488269,1766.923521,26.900002689188028
Mauritius,302.3570072,1679.02879,5.553133382119282
Iraq,3.3,1609.404366,487.69829272727276
Guatemala,250.8951919,1560.909954,6.221362562508317
Nigeria,37.01887247,1546.858797,41.78568102671335
Iran,253.5552948,1513.17372,5.9678253660353064
Sri Lanka,320.9081494,1470.108918,4.581089388813134
Iceland,574.0933988,1424.494254,2.4812935612524933
Georgia,67.58551849,1345.464657,19.907588001993
Kyrgyz Republic,72.97353245,1307.204971,17.91341226211943
North Macedonia,140.5730759,1286.087456,9.148888916074434
Peru,394.9593519,1202.503178,3.044625155006995
Tunisia,312.8513169,1152.392027,3.6835134287395426
Bermuda,696.3875714,1140.757321,1.6381069505687047
Uzbekistan,22.45955833,998.8122728,44.471590141015916
Oman,201.3486029,973.6925425,4.835854475650796
"Moldova, Republic of",88.42988889,965.9242158,10.923051333939089
Albania,137.8157019,895.0324431,6.494415590971206
Turkmenistan,233.5622629,836.1018155,3.579781275958857
El Salvador,164.3759394,813.2052264,4.947227856876966
Libya,53.0,699.9716661,13.207012567924528
Cameroon,239.7690652,694.1609616,2.895123109484434
